Start: Fri Jul 22 2022 20:10:05 
USER,RESPONSE,TIMESTAMP
user1,CREATE,200,Fri Jul 22 2022 20:10:05 
user2,CREATE,200,Fri Jul 22 2022 20:10:06 
user3,CREATE,200,Fri Jul 22 2022 20:10:06 
user4,CREATE,200,Fri Jul 22 2022 20:10:07 
user5,CREATE,200,Fri Jul 22 2022 20:10:07 
user6,CREATE,200,Fri Jul 22 2022 20:10:08 
user7,CREATE,200,Fri Jul 22 2022 20:10:08 
user8,CREATE,200,Fri Jul 22 2022 20:10:09 
user9,CREATE,200,Fri Jul 22 2022 20:10:09 
user10,CREATE,200,Fri Jul 22 2022 20:10:10 
user11,CREATE,200,Fri Jul 22 2022 20:10:10 
user12,CREATE,200,Fri Jul 22 2022 20:10:11 
user13,CREATE,200,Fri Jul 22 2022 20:10:11 
user14,CREATE,200,Fri Jul 22 2022 20:10:12 
user15,CREATE,200,Fri Jul 22 2022 20:10:12 
user16,CREATE,200,Fri Jul 22 2022 20:10:13 
user17,CREATE,200,Fri Jul 22 2022 20:10:13 
user18,CREATE,200,Fri Jul 22 2022 20:10:14 
user19,CREATE,200,Fri Jul 22 2022 20:10:14 
user20,CREATE,200,Fri Jul 22 2022 20:10:15 
user21,CREATE,200,Fri Jul 22 2022 20:10:15 
user22,CREATE,200,Fri Jul 22 2022 20:10:16 
user23,CREATE,200,Fri Jul 22 2022 20:10:16 
user24,CREATE,200,Fri Jul 22 2022 20:10:17 
user25,CREATE,200,Fri Jul 22 2022 20:10:17 
Finish: Fri Jul 22 2022 20:10:18 
